,VIN,Brand,Model,Trim,Manufature_Year,Mileage,MPG_City,MPG_Highway,Engine_Capacity,Transmission,Drive_Type,Fuel_Type,Exterior_Color,Interior_Color,Accidents,Owners,Car_Usage_Type,Location,Price
171, 1C6RR7FG8JS221255,Ram,1500,"Tradesman Quad Cab 6'4"" Box 4WD",2018,"211,340",16,23,3.6, Automatic, 4WD,Gas,Black,Gray,0,1, Personal use,"Olathe, KS","17,999"
172, 1FTEW1EP6KKC59079,Ford,F-150,XL SuperCrew 5.5' Box 4WD,2019,"133,269",18,23,2.7, Automatic, 4WD,Gas,Silver,Black,0,1, Personal use,"Houston, TX","24,944"
173, 2C4RDGCG7KR776597,Dodge,Grand,SXT,2019,"55,685",17,25,3.6, Automatic, FWD,Gas,Gray,Black,0,2, Personal use,"Post Falls, ID","20,000"
174, 1G6KD57Y16U240359,Cadillac,DTS,w/1SC,2006,"88,463",17,25,4.6, Automatic, FWD,Gas,White,Gray,1,2, Personal use,"McKinney, TX","8,250"
175, 2C4RDGCG3KR783918,Dodge,Grand,SXT,2019,"75,900",17,25,3.6, Automatic, FWD,Gas,Black,Black,0,1, Personal use,"Bradenton, FL","18,995"
176, 1FTNF1CF2EKD84028,Ford,F-150,STX Regular Cab 6.5' Box RWD,2014,"217,646",17,23,5.0, Automatic, RWD,Gas,White,Gray,1,2, Fleet use,"Blanchard, OK","7,988"
177, 5YFBU4EE9DP115927,Toyota,Corolla,LE Automatic,2013,"133,715",26,34,1.8, Automatic, FWD,Gas,Black,Gray,1,3, Fleet use,"San Diego, CA","8,950"
178, 1C6RR7LT4GS317880,Ram,1500,"Big Horn Crew Cab 5'7"" Box 4WD",2016,"79,206",16,23,5.7, Automatic, 4WD,Gas,Red,Black,0,2, Personal use,"Gettysburg, PA","24,905"
179, 1N4BL4BV2LC251966,Nissan,Altima,2.5 S FWD,2020,"39,666",28,39,2.5, Automatic, FWD,Gas,Black,Black,0,1, Personal use,"Avondale, AZ","23,439"
180, 1FM5K7D85EGA07660,Ford,Explorer,XLT FWD,2014,"158,104",17,24,3.5, Automatic, FWD,Gas,Black,Black,0,2, Personal use,"Dallas, TX","10,999"
181, 1FTEX1CP8JKC39365,Ford,F-150,XL SuperCab 6.5' Box 2WD,2018,"101,317",20,25,2.7, Automatic, RWD,Gas,White,Gray,0,1, Personal use,"Carrollton, TX","19,991"
182, 1GCVKREH3GZ215770,Chevrolet,Silverado,LT Double Cab Standard Box 4WD,2016,"174,430",17,22,4.3, Automatic, 4WD,Gas,Black,Black,1,2, Personal use,"Farmington Hills, MI","15,996"
183, 55SWF4JB9JU282298,Mercedes-Benz,C-Class,C 300 Sedan RWD,2018,"46,091",24,33,2.0, Automatic, RWD,Gas,White,Unknown,0,2, Personal use,"Escondido, CA","25,977"
184, 1G1ZD5ST7LF039436,Chevrolet,Malibu,LT,2020,"61,270",29,36,1.5, Automatic, FWD,Gas,White,Gray,0,1, Personal use,"Orlando, FL","21,395"
185, JTDEPRAE5LJ047796,Toyota,Corolla,LE CVT,2020,"31,957",30,38,1.8, Automatic, FWD,Gas,Black,Gray,0,1, Personal use,"Miami, FL","20,985"
186, 5NPD84LFXJH246754,Hyundai,Elantra,SEL 2.0L Sedan Automatic,2018,"66,713",28,37,2.0, Automatic, FWD,Gas,Black,Gray,0,2, Fleet use,"Pensacola, FL","16,988"
187, 3FMCR9C6XMRA87673,Ford,Bronco,Outer Banks,2021,209,25,28,1.5, Automatic, 4WD,Gas,Black,Unknown,0,0, Personal use,"Chula Vista, CA","31,560"
188, 1N4BL4BV9LC208192,Nissan,Altima,2.5 S FWD,2020,"64,350",28,39,2.5, Automatic, FWD,Gas,White,Black,0,1, Personal use,"Memphis, TN","21,989"
189, 2C4RDGCG0KR771743,Dodge,Grand,SXT,2019,"63,870",17,25,3.6, Automatic, FWD,Gas,Gray,Black,0,1, Personal use,"Columbus, GA","22,699"
190, 5YFEPMAEXMP153886,Toyota,Corolla,LE CVT,2021,"22,848",30,38,1.8, Automatic, FWD,Gas,Black,Black,0,1, Personal use,"Hollywood, FL","22,225"
191, 1FTEW1EP1FKD71889,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,2015,"198,500",17,23,2.7, Automatic, 4WD,Gas,White,Gray,0,3, Personal use,"Bountiful, UT","17,790"
192, 1FTEW1E56KKC39994,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,2019,"58,941",18,23,5.0, Automatic, 4WD,Gas,White,Gray,0,3, Personal use,"Myrtle Beach, SC","36,998"
193, 1C4BJWDGXGL104245,Jeep,Wrangler,Unlimited Sport,2016,"101,878",16,21,3.6, Automatic, 4WD,Gas,Black,Black,0,3, Personal use,"Waco, TX","25,779"
194, 1N4BL4BV8LC214971,Nissan,Altima,2.5 S FWD,2020,"30,635",28,39,2.5, Automatic, FWD,Gas,Gray,Black,1,2, Personal use,"Bradenton, FL","19,995"
195, 1FMSK8DH1LGB44939,Ford,Explorer,XLT 4WD,2020,"24,695",20,27,2.3, Automatic, 4WD,Gas,Black,Black,0,1, Personal use,"Watertown, NY","36,511"
196, 1FADP3E28HL214260,Ford,Focus,S Sedan,2017,"96,080",25,34,2.0, Automatic, FWD,Gas,Black,Black,0,1, Personal use,"Midlothian, TX","9,888"
197, 5NPE24AF8GH387615,Hyundai,Sonata,SE 2.4L,2016,"91,890",25,38,2.4, Automatic, FWD,Gas,White,Gray,0,3, Personal use,"Colma, CA","13,992"
198, 1FM5K8D81KGA97049,Ford,Explorer,XLT 4WD,2019,"74,900",16,22,3.5, Automatic, 4WD,Gas,Gray,Black,0,1, Fleet use,"Garfield, NJ","24,895"
199, JTDEPRAE7LJ035312,Toyota,Corolla,LE CVT,2020,"4,721",30,38,1.8, Automatic, FWD,Gas,Silver,Black,0,2, Personal use,"Arlington, TX","22,642"
200, 1C4RJEAG3LC245973,Jeep,Grand,Altitude RWD,2020,"81,873",19,26,3.6, Automatic, RWD,Gas,Black,Black,0,2, Personal use,"Maitland, FL","24,989"
