VIN,brand,model,trim,manufacture_year,mileage,transmission,drive_type,fuel_type,exterior_color,interior_color,accidents,owners,car_usage_type,price,car_age,state,MPG
 1C4HJXEN2LW204796,Jeep,Wrangler,Unlimited Sahara,2020,45339, Automatic,4WD,Gas,White,Black,0,1,Personaluse,37797,2, TX,20.0
 WDDJK6FA0GF041422,Mercedes-Benz,SL,SL 400 Roadster,2016,49592, Automatic,RWD,Gas,White,Brown,0,3,Personaluse,45900,6, MI,23.5
 WBAVL1C53DVR82431,BMW,X1,xDrive28i AWD,2013,77454, Automatic,AWD,Gas,Gray,Black,0,2,Fleetuse,14500,9, CA,27.5
 2C4RDGCG2KR798006,Dodge,Grand Caravan,SXT,2019,74120, Automatic,FWD,Gas,Black,Black,0,1,Fleetuse,21990,3, MI,21.0
 JF1VA1C6XL9829835,Subaru,WRX,Premium Manual,2020,16467, Manual,AWD,Gas,Blue,Black,0,1,Personaluse,30990,2, NC,24.0
 4T1B31HK9KU512939,Toyota,Camry,Hybrid LE,2019,132108, Automatic,FWD,Hybrid,Gray,Black,2,1,Fleetuse,21000,3, GA,52.0
 2C3CDXBGXKH664619,Dodge,Charger,SXT RWD,2019,44288, Automatic,RWD,Gas,White,Black,0,2,Personaluse,26990,3, FL,24.5
 KNMAT2MV8KP504285,Nissan,Rogue,S AWD,2019,9869, Automatic,AWD,Gas,Silver,Black,0,1,Personaluse,25981,3, FL,28.5
 WP1AB2A52LLB37348,Porsche,Macan,S AWD,2020,15666, Automatic,AWD,Gas,Black,Brown,0,1,Personaluse,65495,2, CA,20.0
 1GCRYGED6KZ330986,Chevrolet,Silverado 1500,LTZ Double Cab Standard Box 4WD,2019,76040, Automatic,4WD,Gas,White,Black,0,1,Fleetuse,35990,3, NJ,19.0
 KMHD84LF8LU961696,Hyundai,Elantra,SEL 2.0L IVT,2020,39897, Automatic,FWD,Gas,Black,Black,0,1,Personaluse,21998,2, PA,35.0
 5XYZUDLB6JG503978,Hyundai,Santa Fe Sport,Base 2.4L AWD,2018,96365, Automatic,AWD,Gas,Silver,Gray,0,1,Personaluse,18750,4, FL,23.0
 WDC0G4KB8JV076131,Mercedes-Benz,GLC,GLC 300 4MATIC SUV,2018,76847, Automatic,AWD,Gas,Black,Black,0,2,Personaluse,29990,4, WI,24.5
 ZACCJBAB4JPJ42236,Jeep,Renegade,Sport 4WD,2018,40474, Automatic,4WD,Gas,Gray,Black,0,1,Personaluse,20900,4, FL,27.5
 1FTEX1EP0GFA34962,Ford,F-150,XLT SuperCab 6.5' Box 4WD,2016,84897, Automatic,4WD,Gas,Blue,Gray,0,2,Personaluse,25999,6, NJ,20.0
 3FA6P0H98DR386137,Ford,Fusion,SE FWD,2013,72218, Automatic,FWD,Gas,Red,Black,0,1,Personaluse,15998,9, VA,28.0
 1FTFW1E52MFA36102,Ford,F-150,XL SuperCrew 5.5' Box 4WD,2021,25852, Automatic,4WD,Gas,White,Black,0,1,Personaluse,46998,1, VA,20.5
 1C4BJWDG3GL158017,Jeep,Wrangler,Unlimited Sport,2016,86732, Automatic,4WD,Gas,Gray,Black,0,2,Personaluse,27998,6, AZ,18.5
 W1K6G6DB9NA094231,Mercedes-Benz,S-Class,S 500 4MATIC,2022,7338, Automatic,AWD,Gas,White,Black,0,1,Personaluse,109900,0, TX,23.0
 1N4AL3APXHC130490,Nissan,Altima,2.5 SR,2017,58450, Automatic,FWD,Gas,White,Black,0,1,Personaluse,17990,5, FL,31.5
 5XYPG4A52LG664150,Kia,Sorento,LX V6 FWD,2020,45284, Automatic,FWD,Gas,White,Black,0,1,Personaluse,23697,2, FL,22.5
 1FMCU9HD0JUA17965,Ford,Escape,SEL 4WD,2018,49972, Automatic,4WD,Gas,Silver,Black,0,1,Fleetuse,24625,4, MA,25.0
 WBA8B7G56GNT95545,BMW,3 ,340i xDrive Sedan,2016,42552, Automatic,AWD,Gas,Blue,Black,0,2,Personaluse,31171,6, CA,27.5
 1GKKNXLS8HZ314121,GMC,Acadia,Denali AWD,2017,81261, Automatic,AWD,Gas,Gray,Black,0,2,Personaluse,29998,5, TX,21.5
 1FM5K8D87KGB25324,Ford,Explorer,XLT 4WD,2019,64024, Automatic,4WD,Gas,White,Black,0,1,Fleetuse,27990,3, FL,19.0
 1C4RJFBG8LC262773,Jeep,Grand Cherokee,Limited 4WD,2020,30837, Automatic,4WD,Gas,Red,Black,0,1,Fleetuse,34590,2, FL,21.5
 5XXGT4L35JG182412,Kia,Optima,LX,2018,34424, Automatic,FWD,Gas,Silver,Black,1,2,Fleetuse,21997,4, CA,30.5
 5YJYGDEEXMF072471,Tesla,Model Y,Long Range AWD,2021,14395, Automatic,AWD,Electric,White,Black,0,1,Personaluse,66590,1, TX,124.0
 3GNAXHEV4JL104408,Chevrolet,Equinox,LS with 1LS FWD,2018,50966, Automatic,FWD,Gas,Gray,Gray,0,2,Fleetuse,19990,4, CO,29.0
 19UUB1F61LA800092,Acura,TLX,2.4L FWD with A-Spec Package,2020,14177, Automatic,FWD,Gas,White,Red,0,1,Fleetuse,34944,2, KY,27.5
 1V2XR2CA8KC585575,Volkswagen,Atlas,V6 SE with Technology and R-Line 3.6L 4MOTION,2019,20859, Automatic,AWD,Gas,Blue,Beige,0,1,Personaluse,38474,3, CA,20.0
 1GCUYDED7MZ105214,Chevrolet,Silverado 1500,LT with 1LT Crew Cab Short Bed 4WD,2021,36256, Automatic,4WD,Gas,Silver,Black,0,1,Personaluse,42998,1, OH,20.5
 1FTEW1EP3KFC83459,Ford,F-150,XL SuperCrew 5.5' Box 4WD,2019,63210, Automatic,4WD,Gas,Gray,Black,0,1,Personaluse,35590,3, NY,20.5
 5N1AT2MV2KC845524,Nissan,Rogue,S AWD,2019,23685, Automatic,AWD,Gas,Silver,Black,0,1,Personaluse,24998,3, FL,28.5
 1G1JB5SH3E4171834,Chevrolet,Sonic,LS Sedan MT,2014,121316, Manual,FWD,Gas,Red,Black,0,2,Personaluse,6750,8, CO,30.5
 3VV3B7AX7KM012563,Volkswagen,Tiguan,SE FWD,2019,35560, Automatic,FWD,Gas,Black,Black,0,4,Personaluse,26998,3, FL,25.5
 JH4CW2H50DC000395,Acura,TSX,Sport Wagon I4 Automatic,2013,113921, Automatic,FWD,Gas,Gray,Black,1,2,Personaluse,15200,9, CA,26.0
 5UXKR0C59JL071315,BMW,X5,xDrive35i AWD,2018,41868, Automatic,AWD,Gas,Black,Black,1,1,Personaluse,42998,4, TX,21.0
 1GKKNLLA3HZ153998,GMC,Acadia,SLE with SLE-2 FWD,2017,39694, Automatic,FWD,Gas,Silver,Black,0,2,Personaluse,25500,5, CA,23.5
 1N4AL3AP1FC417939,Nissan,Altima,2.5 S,2015,61278, Automatic,FWD,Gas,Gray,Black,1,1,Personaluse,16998,7, IL,32.5
 WBY2Z2C56GV675722,BMW,i8,Coupe,2016,63504, Automatic,AWD,Hybrid,Blue,Gray,0,2,Personaluse,69202,6, IL,13.5
 3GNAXSEV0JS578407,Chevrolet,Equinox,LT with 1LT AWD,2018,52182, Automatic,AWD,Gas,White,Black,0,2,Fleetuse,21590,4, TX,27.0
 1C6RREGT8KN541160,Ram,1500,"Tradesman Crew Cab 5'7"" Box 2WD",2019,70386, Automatic,RWD,Gas,White,Black,0,1,Personaluse,30998,3, FL,22.5
 4JGDA5JB5JB031628,Mercedes-Benz,GLE,GLE 350 SUV RWD,2018,30308, Automatic,RWD,Gas,Black,Black,0,2,Fleetuse,41998,4, FL,20.5
 WVGAV7AX9CW006483,Volkswagen,Tiguan,S FWD Auto,2012,85544, Automatic,FWD,Gas,Red,Black,0,2,Fleetuse,11995,10, AZ,24.5
 3GCPCREC8JG567132,Chevrolet,Silverado 1500,LT Crew Cab Short Box 2WD,2018,8371, Automatic,RWD,Gas,White,Black,0,2,Personaluse,38590,4, NE,21.0
 1FTFW1R6XEFC92301,Ford,F-150,SVT Raptor SuperCrew 5.5' Box 4WD,2014,93975, Automatic,4WD,Gas,White,Black,0,3,Personaluse,38998,8, CA,13.5
 1G1ZD5ST8KF159969,Chevrolet,Malibu,LT with 1LT,2019,85133, Automatic,FWD,Gas,Black,Black,0,1,Personaluse,20998,3, FL,32.5
 58ABZ1B14KU047672,Lexus,ES,ES 350,2019,17345, Automatic,FWD,Gas,Silver,Beige,0,1,Personaluse,37990,3, AL,27.5
 5N1AT2MV2JC771116,Nissan,Rogue,S AWD,2018,46551, Automatic,AWD,Gas,Gray,Black,1,2,Fleetuse,22699,4, TX,28.5
 1C6HJTAG4ML501918,Jeep,Gladiator,Sport,2021,31975, Automatic,4WD,Gas,Gray,Black,0,1,Personaluse,41998,1, FL,19.5
 JM3KFBDL0H0210267,Mazda,CX-5,Grand Touring AWD,2017,25454, Automatic,AWD,Gas,Silver,Black,0,1,Personaluse,27200,5, CA,26.0
 SALZJ2FX0LH024592,Land Rover,Rover Range Rover Evoque,P250 S,2020,33791, Automatic,AWD,Gas,White,Black,0,2,Personaluse,43995,2, NV,23.5
 5NPLL4AG8MH041587,Hyundai,Elantra,SE IVT,2021,12364, Automatic,FWD,Gas,Gray,Gray,1,1,Personaluse,22000,1, TX,38.0
 1C4PJLDN1KD134465,Jeep,Cherokee,Limited FWD,2019,43940, Automatic,FWD,Gas,Gray,Black,0,1,Personaluse,24990,3, TX,26.5
