VIN,brand,model,trim,manufacture_year,mileage,transmission,drive_type,fuel_type,exterior_color,interior_color,accidents,owners,car_usage_type,price,car_age,state,MPG
 5TDJZRFH5KS576064,Toyota,Highlander,XLE V6 AWD,2019,67112, Automatic,AWD,Gas,Gray,Gray,1,1,Fleetuse,31966,3, CA,23.0
 WBA4J3C54KBL07862,BMW,4 ,430i xDrive Gran Coupe,2019,30113, Automatic,AWD,Gas,Black,Black,0,1,Personaluse,33499,3, FL,28.0
 KL4CJESB2LB048382,Buick,Encore,Preferred AWD,2020,21993, Automatic,AWD,Gas,White,Black,1,1,Personaluse,22000,2, MI,26.5
 5NMZTDLB4JH106620,Hyundai,Santa Fe Sport,Base 2.4L AWD,2018,51504, Automatic,AWD,Gas,White,Gray,0,3,Personaluse,21998,4, AL,23.0
 1G11C5SL2EF125904,Chevrolet,Malibu,1LT,2014,59201, Automatic,FWD,Gas,Blue,Black,0,2,Personaluse,15990,8, CT,30.5
 4T1G11AK7LU346041,Toyota,Camry,SE FWD Automatic,2020,62022, Automatic,FWD,Gas,White,Black,0,1,Personaluse,25975,2, NC,33.5
 2C3CDZFJ3MH620448,Dodge,Challenger,R/T Scat Pack RWD,2021,4641, Automatic,RWD,Gas,Black,Black,0,1,Personaluse,48998,1, GA,18.5
 1C4HJXFN3LW108979,Jeep,Wrangler,Unlimited Rubicon,2020,14103, Automatic,4WD,Gas,White,Black,0,1,Personaluse,55998,2, TX,20.0
 3KPFL4A73JE210895,Kia,Forte,S Sedan Automatic,2018,62175, Automatic,FWD,Gas,Gray,Black,0,1,Personaluse,16990,4, NJ,31.0
 2C3CDZFJ2KH552222,Dodge,Challenger,R/T Scat Pack RWD,2019,10645, Automatic,RWD,Gas,Gray,Black,0,1,Personaluse,44590,3, TX,18.5
 1C4RJFBG0KC761419,Jeep,Grand Cherokee,Limited 4WD,2019,32625, Automatic,4WD,Gas,Blue,Black,1,1,Personaluse,34998,3, NY,21.5
 2C3CDZDJ9GH236911,Dodge,Challenger,SRT 392,2016,19910, Automatic,RWD,Gas,Red,Brown,0,1,Personaluse,43998,6, TX,18.5
 1GC4YPE75LF151071,Chevrolet,Silverado 2500HD,LTZ Crew Cab Standard Bed 4WD,2020,6032, Automatic,4WD,Gas,White,Black,0,1,Personaluse,64590,2, TX,13.5
 5NPD84LF3KH479442,Hyundai,Elantra,SEL 2.0L Automatic (SULEV),2019,50802, Automatic,FWD,Gas,Blue,Gray,1,2,Personaluse,20998,3, TX,32.5
 1GYKNCRS1JZ134989,Cadillac,XT5,FWD Luxury,2018,23974, Automatic,FWD,Gas,Purple,Black,0,2,Personaluse,32998,4, CT,22.5
 KNDP6CAC5L7657279,Kia,Sportage,S AWD,2020,27151, Automatic,AWD,Gas,White,Black,0,1,Personaluse,27998,2, NY,24.0
 W1N0G8EB6LF762151,Mercedes-Benz,GLC,GLC 300 SUV 4MATIC,2020,21629, Automatic,AWD,Gas,Gray,Gray,0,1,Personaluse,42000,2, NC,24.5
 1GYKNFRS3HZ280323,Cadillac,XT5,Platinum AWD,2017,50851, Automatic,AWD,Gas,Black,Black,0,1,Personaluse,33000,5, MN,22.0
 SALWV2EF2GA576772,Land Rover,Rover Range Rover Sport,Autobiography V8,2016,49359, Automatic,4WD,Gas,Black,Brown,0,2,Personaluse,53998,6, CA,16.5
 1GTG6CE33G1188602,GMC,Canyon,SLE Crew Cab Short Box 4WD,2016,82470, Automatic,4WD,Gas,Black,Black,0,2,Fleetuse,26651,6, FL,20.5
 1C4RJFBG3LC240146,Jeep,Grand Cherokee,Limited 4WD,2020,21963, Automatic,4WD,Gas,Blue,Black,0,1,Personaluse,41900,2, FL,21.5
 5XYP5DHC5LG085583,Kia,Telluride,SX AWD,2020,17561, Automatic,AWD,Gas,White,Black,0,1,Personaluse,52998,2, TX,21.5
 JTMY1RFV2LD045171,Toyota,RAV4,Limited FWD,2020,11497, Automatic,FWD,Gas,Black,Gray,0,1,Personaluse,36998,2, CA,31.0
 3N1CN7AP9HL830559,Nissan,Versa,1.6 SV CVT,2017,78173, Automatic,FWD,Gas,White,Black,0,1,Personaluse,13990,5, TX,35.0
 5J6RE4H70BL111614,Honda,CR-V,EX-L 4WD,2011,110738, Automatic,4WD,Gas,Blue,Gray,0,2,Personaluse,12998,11, MO,24.0
 3N1AB7AP3KY221669,Nissan,Sentra,SV CVT,2019,53821, Automatic,FWD,Gas,White,Black,0,2,Personaluse,19950,3, CA,33.0
 WBS8M9C58G5G41490,BMW,M3,Sedan,2016,70548, Automatic,RWD,Gas,White,Black,0,1,Personaluse,46998,6, FL,21.5
 KNMAT2MT4KP515749,Nissan,Rogue,SV FWD,2019,59279, Automatic,FWD,Gas,Gray,Black,0,2,Personaluse,23998,3, CA,29.5
 5N1DR2CM3LC633138,Nissan,Pathfinder,SL 4WD,2020,26438, Automatic,4WD,Gas,Red,Black,0,2,Personaluse,33993,2, TX,23.5
 2T2ZZMCAXKC147763,Lexus,RX,RX 350 F Sport FWD,2019,18391, Automatic,FWD,Gas,Black,Black,0,1,Personaluse,46998,3, TX,24.0
 1FA6P8CF5M5145487,Ford,Mustang,GT Fastback,2021,1227, Manual,RWD,Gas,Black,Black,0,1,Personaluse,42990,1, FL,19.5
 3GKALTEV8LL250406,GMC,Terrain,SLE AWD,2020,9905, Automatic,AWD,Gas,White,Black,0,1,Personaluse,31998,2, VA,26.5
 4T1C11AK2LU346382,Toyota,Camry,LE FWD Automatic,2020,46273, Automatic,FWD,Gas,White,Gray,1,1,Fleetuse,23591,2, NC,33.5
 2G61N5S30G9122550,Cadillac,XTS,Luxury Collection AWD,2016,36821, Automatic,AWD,Gas,Gray,Black,0,1,Personaluse,25900,6, TX,21.5
 5N1DL0MM9KC520961,INFINITI,QX60,2019.5 LUXE AWD,2019,28955, Automatic,AWD,Gas,White,Gray,0,1,Personaluse,36814,3, AZ,22.5
 3GCUYBEF9KG257692,Chevrolet,Silverado 1500,Custom Crew Cab Short Box 4WD,2019,40671, Automatic,4WD,Gas,Silver,Black,0,2,Personaluse,38990,3, FL,17.5
 2GCVKMEC5K1239657,Chevrolet,Silverado 1500 ,Custom Double Cab Standard Box 4WD,2019,56419, Automatic,4WD,Gas,Silver,Black,1,2,Personaluse,31998,3, PA,18.0
 3C4NJDDB2JT235171,Jeep,Compass,Trailhawk 4WD,2018,46056, Automatic,4WD,Gas,Silver,Red,0,1,Personaluse,24990,4, CA,26.0
 5UXKU2C55G0N82850,BMW,X6,xDrive35i AWD,2016,30190, Automatic,AWD,Gas,Gray,Black,0,3,Fleetuse,41998,6, FL,21.0
 3GCUYAEF6LG351234,Chevrolet,Silverado 1500,WT Crew Cab Standard Bed 4WD,2020,27502, Automatic,4WD,Gas,White,Black,0,1,Personaluse,39998,2, AZ,17.5
 1FMCU0GX5GUC04389,Ford,Escape,SE FWD,2016,45385, Automatic,FWD,Gas,White,Black,0,2,Personaluse,17990,6, NE,27.5
 1GCGTEEN3J1292424,Chevrolet,Colorado,ZR2 Crew Cab Short Box 4WD Automatic,2018,47455, Automatic,4WD,Gas,White,Black,0,2,Personaluse,37590,4, CA,17.0
 2HKRW6H39KH221710,Honda,CR-V,LX AWD,2019,37012, Automatic,AWD,Gas,Blue,Gray,0,1,Personaluse,27715,3, IL,28.0
 1G1ZE5SXXLF067439,Chevrolet,Malibu,Premier,2020,30813, Automatic,FWD,Gas,Silver,Black,0,2,Fleetuse,29998,2, TX,27.0
 1GNERKKW9KJ166286,Chevrolet,Traverse,Premier with 1LZ FWD,2019,81115, Automatic,FWD,Gas,Black,Black,0,1,Personaluse,34998,3, TX,22.5
 2T3NFREVXJW442293,Toyota,RAV4,SE FWD,2018,84880, Automatic,FWD,Gas,White,Black,0,2,Personaluse,24998,4, IA,26.0
 1C4RDHAG3KC769695,Dodge,Durango,SXT RWD,2019,27821, Automatic,RWD,Gas,Silver,Black,0,1,Personaluse,29590,3, NY,22.5
 2LMPJ8K96KBL61983,Lincoln,Nautilus,Select AWD,2019,22440, Automatic,AWD,Gas,Black,Black,0,1,Personaluse,36995,3, FL,23.5
 KM8SNDHF4KU307267,Hyundai,Santa Fe ,SE AWD,2019,21246, Automatic,AWD,Gas,Black,Gray,0,1,Personaluse,30000,3, IL,21.0
 WAUTNAF55JA100398,Audi,A5,Premium Plus Coupe S tronic,2018,34038, Automatic,AWD,Gas,White,Black,0,2,Personaluse,34998,4, VA,29.0
 1GCGTCEN9J1125103,Chevrolet,Colorado,LT Crew Cab Short Box 4WD Automatic,2018,80753, Automatic,4WD,Gas,White,Black,1,2,Personaluse,27998,4, PA,20.5
 3FA6P0H74GR377793,Ford,Fusion,SE FWD,2016,97591, Automatic,FWD,Gas,White,Beige,0,1,Personaluse,14990,6, CA,28.0
 4T1K61AK3LU942582,Toyota,Camry,XSE FWD Automatic,2020,30885, Automatic,FWD,Gas,Black,Red,0,1,Personaluse,32998,2, TX,32.5
 SAJAM4FV0KCP48673,Jaguar,XE,S AWD,2019,36238, Automatic,AWD,Gas,Gray,Black,1,3,Personaluse,40998,3, FL,24.5
 KNDPMCAC7J7417945,Kia,Sportage,LX AWD,2018,24220, Automatic,AWD,Gas,Brown,Black,0,1,Personaluse,21495,4, PA,23.0
 WDC0G6EB5KF533173,Mercedes-Benz,GLC,AMG GLC 43 4MATIC,2019,18790, Automatic,AWD,Gas,Red,Black,0,1,Personaluse,49990,3, ID,22.0
 WBAVL1C58FVY34861,BMW,X1,xDrive28i AWD,2015,40293, Automatic,AWD,Gas,White,Black,0,3,Personaluse,23998,7, TX,27.0
 5TFAY5F10KX840204,Toyota,Tundra,Platinum CrewMax 5.5' Bed 5.7L 4WD,2019,39025, Automatic,4WD,Gas,Gray,Black,0,1,Fleetuse,48998,3, AZ,15.0
 4T1K61AK5MU518287,Toyota,Camry,XSE Automatic,2021,16224, Automatic,FWD,Gas,White,Gray,0,1,Personaluse,35998,1, NM,32.5
 WP1AB2A59JLB31463,Porsche,Macan,S AWD,2018,38098, Automatic,AWD,Gas,Black,Black,0,1,Personaluse,47998,4, CA,20.0
 5XXG64J29MG041204,Kia,K5,GT-Line AWD,2021,23284, Automatic,AWD,Gas,White,Black,0,2,Personaluse,32998,1, VA,30.0
 WBA5R7C53KAE83024,BMW,3 ,330i xDrive Sedan,2019,44234, Automatic,AWD,Gas,White,Black,0,1,Personaluse,34145,3, FL,29.5
 SHSRD788X4U238825,Honda,CR-V,EX 4WD Automatic,2004,95060, Automatic,4WD,Gas,Green,Brown,0,3,Personaluse,8909,18, TX,24.0
 JTHCL5EF2H5028863,Lexus,LS,LS 460 AWD,2017,28160, Automatic,AWD,Gas,White,Black,0,2,Personaluse,43590,5, OR,19.5
 5NPEC4AC2CH490154,Hyundai,Sonata,Limited 2.4L Automatic (PZEV),2012,93850, Automatic,FWD,Gas,Silver,Gray,0,1,Personaluse,14998,10, AZ,29.5
 1GYKNDRS8HZ287546,Cadillac,XT5,Luxury AWD,2017,46471, Automatic,AWD,Gas,Silver,Beige,1,2,Fleetuse,30998,5, TX,22.0
 WP1AA2A52JLB16211,Porsche,Macan,AWD,2018,35546, Automatic,AWD,Gas,Blue,Gray,0,2,Personaluse,43499,4, FL,22.5
 5FNYF6H53KB087322,Honda,Pilot,EX-L AWD,2019,37956, Automatic,AWD,Gas,Gray,Black,0,1,Fleetuse,36125,3, TX,22.0
 WBAJB9C50JG464566,BMW,5 ,M550i xDrive,2018,46072, Automatic,AWD,Gas,Black,Brown,0,3,Personaluse,46590,4, TX,20.5
 WDDHF8JB9FB113187,Mercedes-Benz,E-Class,E 350 4MATIC Luxury Sedan,2015,45471, Automatic,AWD,Gas,Gray,Gray,1,3,Personaluse,27998,7, TX,24.0
 YV4A22PM4K1471341,Volvo,XC90,T6 R-Design AWD,2019,8489, Automatic,AWD,Gas,Black,Black,0,1,Personaluse,52500,3, TN,22.5
 1C4PJLCB5GW248228,Jeep,Cherokee,Latitude FWD,2016,57275, Automatic,FWD,Gas,Black,Black,0,2,Personaluse,19998,6, GA,26.5
 4T1K61AK8MU611238,Toyota,Camry,XSE Automatic,2021,8387, Automatic,FWD,Gas,White,Red,0,1,Personaluse,37990,1, AL,32.5
 1FTFW1E53KFC22115,Ford,F-150,XL SuperCrew 6.5' Box 4WD,2019,52409, Automatic,4WD,Gas,White,Black,0,1,Personaluse,38990,3, FL,19.0
 5J8TB4H56JL012265,Acura,RDX,SH-AWD with Technology Package,2018,41698, Automatic,AWD,Gas,Black,Black,0,2,Personaluse,29005,4, FL,23.0
 1C6HJTFGXLL106729,Jeep,Gladiator,Overland,2020,31279, Manual,4WD,Gas,White,Black,0,1,Personaluse,43998,2, NV,19.5
 JTHCE1D26G5011368,Lexus,IS,IS 350 AWD,2016,75822, Automatic,AWD,Gas,Gray,Red,0,2,Personaluse,28858,6, IN,22.5
 4JGDF6EE0FA499534,Mercedes-Benz,GL,GL 450 4MATIC,2015,97425, Automatic,AWD,Gas,White,Black,0,2,Personaluse,23749,7, FL,19.0
 MAJ3S2GE9KC266578,Ford,EcoSport,SE FWD,2019,17938, Automatic,FWD,Gas,Red,Black,0,1,Personaluse,19990,3, NC,28.0
 KNDJN2A25E7061490,Kia,Soul,Base Automatic,2014,72758, Automatic,FWD,Gas,Gray,Black,1,4,Fleetuse,14997,8, CA,27.0
 WA1VAAGE5KB022166,Audi,e-tron,Prestige,2019,50146, Automatic,AWD,Electric,Gray,Black,0,1,Personaluse,60899,3, FL,73.5
 JF2SJARC5JH436047,Subaru,Forester,2.5i Limited CVT,2018,68606, Automatic,AWD,Gas,Silver,Black,0,1,Personaluse,25998,4, TX,29.0
 1VWAA7A39JC029948,Volkswagen,Passat,2.0T S,2018,66488, Automatic,FWD,Gas,White,Black,0,2,Personaluse,17990,4, TX,30.5
 JF2GPAGC4D2868854,Subaru,XV Crosstrek,2.0i Limited Auto,2013,83728, Automatic,AWD,Gas,Gray,Black,0,1,Fleetuse,17650,9, CA,29.0
 5TDJZRFH4JS853625,Toyota,Highlander,XLE V6 AWD,2018,87708, Automatic,AWD,Gas,Gray,Black,0,1,Personaluse,29998,4, MD,23.0
 4T1BF1FK3FU029821,Toyota,Camry,SE I4 Automatic,2015,96071, Automatic,FWD,Gas,White,Black,0,2,Personaluse,16990,7, NC,30.0
 5FNRL5H90GB081009,Honda,Odyssey,Touring Elite,2016,69056, Automatic,FWD,Gas,Black,Gray,0,1,Personaluse,28997,6, CA,23.5
 YV4102WK6L1047635,Volvo,V60  Country,T5 AWD,2020,17568, Automatic,AWD,Gas,White,Black,0,1,Personaluse,41590,2, TX,26.5
 55SWF4KB3FU060846,Mercedes-Benz,C-Class,C 300 Sedan 4MATIC,2015,63575, Automatic,AWD,Gas,Silver,Black,0,2,Personaluse,22500,7, TN,27.5
 WDD1J6JB7KF079063,Mercedes-Benz,E-Class,E 450 Coupe 4MATIC,2019,19923, Automatic,RWD,Gas,Black,Black,0,1,Personaluse,56990,3, IL,23.5
 1GCPYCEF5KZ286268,Chevrolet,Silverado 1500,Custom Trail Boss Crew Cab Short Box 4WD,2019,37956, Automatic,4WD,Gas,Black,Black,0,1,Personaluse,42000,3, FL,16.0
 1FMCU0H68LUB20373,Ford,Escape,SEL FWD,2020,53374, Automatic,FWD,Gas,White,Beige,0,2,Fleetuse,24990,2, FL,30.0
 3VW2K7AJ2EM257357,Volkswagen,Jetta,S Sedan Auto,2014,22047, Manual,FWD,Gas,Brown,Beige,0,2,Personaluse,15990,8, AZ,26.0
 4JGDF6EE6FA499814,Mercedes-Benz,GL,GL 450 4MATIC,2015,83034, Automatic,AWD,Gas,Black,Black,0,3,Personaluse,21911,7, TX,19.0
 1C4NJDEB2GD731097,Jeep,Compass,Latitude 4WD,2016,38016, Automatic,4WD,Gas,Red,Gray,0,2,Fleetuse,18995,6, MO,23.0
 4JGFB5KB5MA513613,Mercedes-Benz,GLE,GLE 450 4MATIC,2021,45815, Automatic,AWD,Gas,White,Beige,0,1,Personaluse,70500,1, NJ,23.5
 5TDEBRCH4LS005547,Toyota,Highlander,Hybrid Limited Platinum AWD,2020,15419, Automatic,AWD,Hybrid,White,Brown,0,1,Personaluse,51995,2, TX,34.5
 1C4RJFBG7FC189724,Jeep,Grand Cherokee,Limited 4WD,2015,66191, Automatic,4WD,Gas,White,Black,2,3,Fleetuse,24950,7, FL,20.5
 WDD3G4FB1KW024578,Mercedes-Benz,A-Class,A 220 4MATIC,2019,41619, Automatic,AWD,Gas,White,Black,0,1,Fleetuse,30990,3, NH,29.0
 2C4RC1EG3LR224514,Chrysler,Pacifica,Touring L Plus FWD,2020,23446, Automatic,FWD,Gas,White,Black,0,1,Fleetuse,40725,2, WA,23.5
 WDDWF4KB4JR411578,Mercedes-Benz,C-Class,C 300 4MATIC Sedan,2018,72598, Automatic,AWD,Gas,Blue,Beige,0,3,Personaluse,29500,4, WA,27.5
 1C6RR7LG4FS712868,Ram,1500,"Outdoorsman Crew Cab 5'7"" Box 4WD",2015,106977, Automatic,4WD,Gas,White,Gray,0,3,Personaluse,25998,7, OH,19.5
 3GNCJKSB3KL353866,Chevrolet,Trax,LS FWD,2019,25598, Automatic,FWD,Gas,Gray,Black,0,1,Personaluse,19590,3, FL,28.5
 1N6AD0FV6HN725884,Nissan,Frontier,SL Crew Cab Long Bed 4WD Auto *Ltd Avail*,2017,22787, Automatic,4WD,Gas,White,Gray,0,1,Personaluse,29500,5, NC,18.0
 5NMS3CAD5LH210603,Hyundai,Santa Fe,SEL 2.4L AWD,2020,12416, Automatic,AWD,Gas,Blue,Black,0,1,Personaluse,33495,2, GA,24.0
 4T1L31AKXLU010859,Toyota,Camry,Hybrid LE FWD CVT,2020,9436, Automatic,FWD,Hybrid,Blue,Black,1,1,Fleetuse,32998,2, FL,52.0
 5NPDH4AE8DH385425,Hyundai,Elantra,GLS Sedan Automatic,2013,71337, Automatic,FWD,Gas,Brown,Beige,0,2,Fleetuse,15998,9, IL,33.0
 1GC1KUEG4HF161147,Chevrolet,Silverado 2500HD,WT Crew Cab Long Box 4WD,2017,117169, Automatic,4WD,Gas,White,Gray,1,2,Personaluse,30000,5, TX,13.5
 1G6AX5SS5K0104677,Cadillac,CTS,Luxury 3.6L AWD,2019,60052, Automatic,AWD,Gas,Red,Black,1,1,Fleetuse,30998,3, CA,22.0
 1C4HJXFN3NW132380,Jeep,Wrangler,Unlimited Rubicon,2022,10018, Automatic,4WD,Gas,Black,Black,0,1,Personaluse,53700,0, VA,20.0
 3N1AB7AP3JY326940,Nissan,Sentra,S CVT,2018,57879, Automatic,FWD,Gas,White,Black,0,2,Personaluse,16590,4, OK,33.0
 1C4RJFBGXEC356219,Jeep,Grand Cherokee,Limited 4WD,2014,116933, Automatic,4WD,Gas,Silver,Black,0,2,Personaluse,15995,8, TX,20.5
 2FMDK3JC5BBA14740,Ford,Edge,SEL FWD,2011,149434, Automatic,FWD,Gas,Blue,Beige,0,2,Personaluse,9997,11, PA,23.0
 1N4BL4DV3LC119375,Nissan,Altima,2.5 SV FWD,2020,24968, Automatic,FWD,Gas,Red,Black,0,1,Personaluse,22966,2, WA,33.5
 3GNKBJRS9KS692002,Chevrolet,Blazer,RS AWD,2019,95398, Automatic,AWD,Gas,Gray,Black,0,1,Personaluse,33499,3, AZ,21.5
 5J6RW2H89KL004412,Honda,CR-V,EX-L AWD,2019,67785, Automatic,AWD,Gas,Blue,Gray,0,1,Personaluse,28500,3, NJ,30.0
 1C4PJMBS9HW561047,Jeep,Cherokee,Trailhawk 4WD,2017,58177, Automatic,4WD,Gas,Gray,Black,0,2,Personaluse,26998,5, FL,22.0
 1HGCV1F37LA059424,Honda,Accord,Sport 1.5T CVT,2020,7863, Automatic,FWD,Gas,Red,Black,0,1,Fleetuse,30998,2, IN,32.0
 5N1AT2MV3GC900005,Nissan,Rogue,SV AWD,2016,39156, Automatic,AWD,Gas,White,Beige,0,1,Personaluse,22998,6, NC,28.5
 1FM5K8F83HGB80407,Ford,Explorer,Limited 4WD,2017,89621, Automatic,4WD,Gas,Gold,Beige,0,3,Personaluse,27998,5, TX,21.5
 WMWXP7C52F2A60918,MINI,Hardtop,S Hardtop 2-Door,2015,51490, Manual,FWD,Gas,Black,Black,0,4,Personaluse,18990,7, TX,29.0
 1FAHP3F20CL217095,Ford,Focus,SE Sedan,2012,61491, Manual,FWD,Gas,Gray,Black,0,1,Fleetuse,10200,10, TX,31.0
 1C4PJMCB0KD368254,Jeep,Cherokee,Latitude 4WD,2019,42204, Automatic,4WD,Gas,White,Black,0,1,Personaluse,24998,3, IN,25.0
 1G1FB1RX4J0145756,Chevrolet,Camaro,LT with 1LT Coupe,2018,37829, Automatic,RWD,Gas,White,Black,0,2,Personaluse,27990,4, NC,26.5
 5J8YD4H96LY000173,Acura,MDX,SH-AWD PMC Edition,2020,12565, Automatic,AWD,Gas,Red,Black,0,1,Personaluse,50278,2, TX,22.0
 2C3CDZAG2MH571285,Dodge,Challenger,SXT RWD,2021,17470, Automatic,RWD,Gas,Red,Black,0,1,Personaluse,30998,1, NV,24.5
 3FA6P0HD6FR251455,Ford,Fusion,SE FWD,2015,66296, Automatic,FWD,Gas,White,Beige,0,1,Personaluse,16795,7, WA,28.0
 5FNRL6H54KB086614,Honda,Odyssey,EX,2019,71126, Automatic,FWD,Gas,Black,Gray,0,1,Personaluse,31998,3, NC,23.5
 1FM5K8GT4FGB65169,Ford,Explorer,Sport 4WD,2015,104567, Automatic,4WD,Gas,Black,Black,0,1,Personaluse,22824,7, PA,19.0
 JTHSE5BC2F5001045,Lexus,RC,RC 350 AWD,2015,38108, Automatic,AWD,Gas,White,Brown,0,2,Personaluse,32590,7, MD,22.5
 1C4RJEAG5MC843807,Jeep,Grand Cherokee WK,Laredo E RWD,2021,3928, Automatic,RWD,Gas,White,Black,0,1,Personaluse,37998,1, TX,22.5
 W1K3G4EB8MJ256242,Mercedes-Benz,A-Class,A 220 FWD,2021,10844, Automatic,FWD,Gas,Gray,Black,0,1,Personaluse,39998,1, GA,30.5
 WAUC4CF55KA029316,Audi,S5,Prestige Sportback,2019,48331, Automatic,AWD,Gas,Black,Red,0,1,Personaluse,50990,3, TX,25.5
 1GNSKNKD6MR145195,Chevrolet,Tahoe,LT 4WD,2021,35390, Automatic,4WD,Gas,Black,Black,1,1,Personaluse,64000,1, TX,18.0
 YV4A22PK0K1416447,Volvo,XC90,T6 Momentum AWD,2019,55785, Automatic,AWD,Gas,Blue,Black,0,1,Fleetuse,38998,3, VA,22.5
 WBAJA7C50JG909136,BMW,5 ,530i xDrive,2018,29855, Automatic,AWD,Gas,Black,Black,0,3,Personaluse,36998,4, CA,28.0
 1G1FH1R77H0133349,Chevrolet,Camaro,SS with 2SS Coupe,2017,11375, Automatic,RWD,Gas,White,Red,0,2,Fleetuse,41590,5, NJ,20.5
 JHLRM3H75CC000211,Honda,CR-V,EX-L FWD,2012,107570, Automatic,FWD,Gas,Silver,Gray,1,1,Personaluse,16998,10, IN,27.0
 5N1DR2MM9HC621677,Nissan,Pathfinder,SV 4WD,2017,69358, Automatic,4WD,Gas,Silver,Black,1,2,Fleetuse,21888,5, FL,22.5
 SALWG2SU1LA881042,Land Rover,Rover Range Rover Sport,SE Turbo i6 Mild Hybrid,2020,23921, Automatic,4WD,Diesel,White,Black,0,1,Personaluse,69998,2, IL,22.0
 SALCR2FX0KH798483,Land Rover,Rover Discovery Sport,HSE,2019,82921, Automatic,4WD,Gas,Black,Black,0,1,Personaluse,28990,3, FL,23.0
 WP0AA2A90KS103789,Porsche,911,Carrera T,2019,15876, Automatic,RWD,Gas,White,Black,0,3,Personaluse,116888,3, TX,22.0
 5XYPG4A32KG592525,Kia,Sorento,L I4 FWD,2019,58827, Automatic,FWD,Gas,Black,Black,0,1,Personaluse,22990,3, IL,25.5
 2G1FE1E37F9213961,Chevrolet,Camaro,LT with 2LT Coupe,2015,40063, Manual,RWD,Gas,Blue,Gray,0,1,Personaluse,23998,7, OR,22.5
 JN8AT2MV5JW310158,Nissan,Rogue,SV AWD,2018,41760, Automatic,AWD,Gas,Black,Black,0,2,Personaluse,22932,4, FL,28.5
 WBAFR9C54DDX80026,BMW,5 ,550i Sedan,2013,54632, Automatic,RWD,Gas,Black,Black,0,5,Personaluse,19980,9, TN,21.0
 4T1BF1FK9HU742886,Toyota,Camry,SE I4 Automatic,2017,42622, Automatic,FWD,Gas,Blue,Black,0,4,Personaluse,21590,5, OH,28.5
 3GCPYFED1KG240226,Chevrolet,Silverado 1500,LT Trail Boss Crew Cab Short Box 4WD,2019,37553, Automatic,4WD,Gas,Black,Black,0,1,Personaluse,50998,3, FL,17.5
 3GTU9DED3MG382679,GMC,Sierra 1500,SLT Crew Cab Short Bed 4WD,2021,6873, Automatic,4WD,Gas,White,Black,0,1,Personaluse,55990,1, OH,17.0
 SALCR2FX7KH800794,Land Rover,Rover Discovery Sport,HSE,2019,42068, Automatic,4WD,Gas,White,Black,0,2,Personaluse,34591,3, NC,23.0
 2HKRM4H73DH613422,Honda,CR-V,EX-L AWD,2013,62808, Automatic,AWD,Gas,Gray,Beige,0,3,Personaluse,18990,9, TX,26.0
 1C4SDHCT1LC394564,Dodge,Durango,R/T RWD,2020,14018, Automatic,RWD,Gas,Silver,Black,0,1,Personaluse,46998,2, FL,18.0
 1GNSCCKC2GR432904,Chevrolet,Tahoe,LTZ RWD,2016,85333, Automatic,RWD,Gas,White,Black,0,2,Personaluse,36998,6, FL,19.5
 1FTFW1R66DFC37990,Ford,F-150,SVT Raptor SuperCrew 5.5' Box 4WD,2013,192251, Automatic,4WD,Gas,White,Black,0,3,Fleetuse,27890,9, FL,13.5
 4T1BF1FK5GU587249,Toyota,Camry,SE I4 Automatic,2016,102167, Automatic,FWD,Gas,Blue,Black,0,2,Fleetuse,15799,6, IN,30.0
 1C4PJMAK1CW172932,Jeep,Liberty,Sport 4WD,2012,170339, Automatic,4WD,Gas,Black,Gray,0,4,Fleetuse,6400,10, IL,18.0
 KNAFK4A6XF5256699,Kia,Forte,LX Sedan Automatic,2015,69476, Automatic,FWD,Gas,Tan,Gray,0,2,Personaluse,12495,7, NC,32.5
 JM3KFBCM5J0471989,Mazda,CX-5,Touring AWD,2018,11326, Automatic,AWD,Gas,White,Black,0,1,Personaluse,28500,4, GA,26.0
 1GKKNXLS1JZ111478,GMC,Acadia,Denali AWD,2018,57312, Automatic,AWD,Gas,Red,Black,0,2,Personaluse,34998,4, TX,21.0
 JTNB11HK8J3002849,Toyota,Camry,LE I4 Automatic,2018,68078, Automatic,FWD,Gas,Black,Gray,0,1,Personaluse,24998,4, CA,30.0
 W1N0G8EB3MF901010,Mercedes-Benz,GLC,GLC 300 SUV 4MATIC,2021,19593, Automatic,AWD,Gas,White,Beige,0,1,Personaluse,46991,1, TX,24.5
 1FTEW1EG0JFA75991,Ford,F-150,Limited SuperCrew 5.5' Box 4WD,2018,57370, Automatic,4WD,Gas,Black,Blue,0,1,Fleetuse,47871,4, NC,20.0
 JF1VA1A60M9814443,Subaru,WRX,Manual,2021,10762, Manual,AWD,Gas,White,Black,0,1,Personaluse,32590,1, NY,23.5
 ZACCJABB4HPF91518,Jeep,Renegade,Latitude FWD,2017,31928, Automatic,FWD,Gas,White,Black,0,1,Personaluse,19990,5, IA,27.5
 4T1B11HK8JU054475,Toyota,Camry,LE I4 Automatic,2018,87664, Automatic,FWD,Gas,Silver,Black,0,2,Personaluse,20990,4, TX,33.5
 W1N0G8EB8MV277890,Mercedes-Benz,GLC,GLC 300 SUV 4MATIC,2021,3866, Automatic,AWD,Gas,Silver,Beige,0,1,Personaluse,48998,1, FL,24.5
 3GKALTEV9KL217834,GMC,Terrain,SLE AWD,2019,37235, Automatic,AWD,Gas,Black,Black,0,1,Personaluse,25990,3, TN,26.0
