,VIN,brand,model,trim,manufacture_year,mileage,MPG_city,MPG_highway,transmission,drive_type,fuel_type,exterior_color,interior_color,accidents,owners,car_usage_type,price,car_age,state
9051, LVY992ML2JP005814,Volvo,S90,T6 AWD Inscription,2018,88223,22.0,31.0, Automatic,AWD,Gas,Blue,Black,0,1,Personaluse,29998,4, TX
9052, 2C4RC1DG3LR261872,Chrysler,Voyager,LXI FWD,2020,51220,19.0,28.0, Automatic,FWD,Gas,Gray,Gray,0,1,Personaluse,25977,2, PA
9053, 4T1B11HK6KU237469,Toyota,Camry,LE Automatic,2019,29479,28.0,39.0, Automatic,FWD,Gas,Silver,Black,0,1,Personaluse,25990,3, IL
9054, 5N1AT2MV4GC808627,Nissan,Rogue,SV AWD,2016,70347,25.0,32.0, Automatic,AWD,Gas,Black,Black,0,1,Personaluse,18990,6, IL
9055, 55SWF4KB1JU234454,Mercedes-Benz,C-Class,C 300 4MATIC Sedan,2018,1604,23.0,32.0, Automatic,AWD,Gas,Black,Gray,0,1,Personaluse,37000,4, CA
9056, JHLRW2H96KX019461,Honda,CR-V,Touring AWD,2019,80422,27.0,33.0, Automatic,AWD,Gas,Gray,Gray,0,1,Personaluse,28998,3, IN
9057, 3LN6L5LU6JR621253,Lincoln,MKZ,Hybrid Select FWD,2018,34608,38.0,41.0, Automatic,FWD,Hybrid,Gray,Beige,1,1,Personaluse,28000,4, PA
9058, 2T2HZMDA7LC254037,Lexus,RX,RX 350 AWD,2020,15017,19.0,26.0, Automatic,AWD,Gas,Black,Beige,0,1,Personaluse,46582,2, NY
9059, 1C4RJKBG6M8132892,Jeep,Grand Cherokee,L Limited 4WD,2021,9153,18.0,25.0, Automatic,4WD,Gas,Silver,Black,0,1,Personaluse,46000,1, NC
9060, WDDZF4KB2KA603983,Mercedes-Benz,E-Class,E 300 Sedan 4MATIC,2019,28462,21.0,29.0, Automatic,AWD,Gas,Black,Black,0,1,Personaluse,45995,3, TX
9061, SHHFK8G78KU205848,Honda,Civic,Type R Manual,2019,15404,22.0,28.0, Manual,FWD,Gas,Red,Red,1,2,Personaluse,42998,3, OH
9062, JF1VA2T64J9834757,Subaru,WRX,STI Limited with Lip Spoiler Manual,2018,27694,16.0,22.0, Manual,AWD,Gas,White,Black,0,2,Personaluse,38998,4, FL
9063, 5N1AT2MV8LC750578,Nissan,Rogue,SV AWD,2020,37828,25.0,32.0, Automatic,AWD,Gas,Red,Black,0,1,Personaluse,30995,2, NJ
9064, ZACCJBBB4HPE98231,Jeep,Renegade,Altitude 4WD,2017,38504,24.0,31.0, Automatic,4WD,Gas,White,Black,0,1,Personaluse,22998,5, WA
9065, WDDZF4KB6HA222436,Mercedes-Benz,E-Class,E 300 Luxury 4MATIC Sedan,2017,19835,22.0,29.0, Automatic,AWD,Gas,Black,Black,0,2,Personaluse,36998,5, TX
9066, 5YJSA1H22FFP74133,Tesla,Model S,P85D AWD,2015,35550,89.0,98.0, Automatic,AWD,Electric,White,Black,0,1,Personaluse,55990,7, AZ
9067, 1FTEW1EP1KFC07450,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,2019,30636,18.0,23.0, Automatic,4WD,Gas,Gray,Black,1,1,Personaluse,40000,3, WI
9068, 2GNFLGEK0H6153203,Chevrolet,Equinox,Premier AWD,2017,83068,20.0,28.0, Automatic,AWD,Gas,White,Gray,0,1,Personaluse,20000,5, WI
9069, 3KPFN5A38JE193556,Kia,Forte,Forte5 SX DCT,2018,98814,25.0,30.0, Automatic,FWD,Gas,Black,Black,0,1,Personaluse,17990,4, AL
9070, JTHBK1GG3F2168349,Lexus,ES,ES 350,2015,64942,21.0,31.0, Automatic,FWD,Gas,Silver,Black,0,3,Fleetuse,19888,7, NC
9071, 1C4PJMDX5LD604022,Jeep,Cherokee,Limited 4WD,2020,16396,19.0,27.0, Automatic,4WD,Gas,Silver,Black,0,1,Personaluse,31998,2, CA
9072, WBA7J2C53KB246382,BMW,7 ,740e xDrive iPerformance Plug-In Hybrid,2019,43853,19.0,28.0, Automatic,AWD,Hybrid,Black,Black,0,1,Personaluse,55431,3, AZ
9073, 1G1ZD5ST9LF090520,Chevrolet,Malibu,LT,2020,55905,29.0,36.0, Automatic,FWD,Gas,Gray,Black,0,1,Personaluse,21230,2, IN
9074, 1C4HJXDG5KW553467,Jeep,Wrangler,Unlimited Sport S,2019,38672,17.0,23.0, Manual,4WD,Gas,Black,Black,0,1,Personaluse,36990,3, SC
9075, WA1AAAF76JD045945,Audi,Q7,Premium 3.0S,2018,42517,19.0,25.0, Automatic,AWD,Gas,White,Black,0,1,Personaluse,39990,4, MA
9076, 1C4RDJDG1KC827337,Dodge,Durango,GT Plus AWD,2019,30147,18.0,25.0, Automatic,AWD,Gas,Black,Black,0,2,Personaluse,36990,3, CA
9077, 5NPEB4AC7DH737740,Hyundai,Sonata,GLS 2.4L,2013,72938,24.0,35.0, Automatic,FWD,Gas,Black,Brown,0,1,Personaluse,16998,9, NE
9078, 5TDJZRFHXKS606269,Toyota,Highlander,XLE V6 AWD,2019,49666,20.0,26.0, Automatic,AWD,Gas,Gray,Gray,0,1,Personaluse,35790,3, FL
9079, 58AGZ1B1XMU084945,Lexus,ES,ES 350 F Sport,2021,13305,22.0,31.0, Automatic,FWD,Gas,White,Red,0,2,Personaluse,46998,1, OK
9080, 2HGFC4B5XHH310280,Honda,Civic,LX Coupe CVT,2017,81882,30.0,39.0, Manual,FWD,Gas,Gray,Black,0,2,Personaluse,18990,5, TX
9081, 1HGCV3F1XKA006287,Honda,Accord,Hybrid CVT,2019,9660,48.0,48.0, Automatic,FWD,Hybrid,White,Gray,0,1,Personaluse,31998,3, CA
9082, 3FA6P0G70HR231443,Ford,Fusion,S FWD,2017,24872,21.0,32.0, Automatic,FWD,Gas,White,Gray,0,1,Personaluse,19990,5, PA
9083, 2C4RDGEG7KR562738,Dodge,Grand Caravan,GT,2019,92305,17.0,25.0, Automatic,FWD,Gas,Gray,Black,1,2,Personaluse,23900,3, IL
9084, 5UXTR9C59KLP88033,BMW,X3,xDrive30i AWD,2019,23322,24.0,29.0, Automatic,AWD,Gas,Silver,Black,0,1,Personaluse,39498,3, WI
9085, SAJDA41C152A43910,Jaguar,XK8,Coupe,2005,76574,18.0,26.0, Automatic,RWD,Gas,Black,Beige,1,2,Personaluse,11870,17, TX
9086, 3FA6P0VP3HR270272,Ford,Fusion,Sport AWD,2017,68363,17.0,26.0, Automatic,AWD,Gas,White,Gray,2,1,Fleetuse,24975,5, CO
9087, JF1VA2S65L9833735,Subaru,WRX,STI Manual,2020,12913,16.0,22.0, Manual,AWD,Gas,White,Black,0,1,Personaluse,42990,2, NJ
9088, 2G1WA5E39E1123713,Chevrolet,Impala ,4dr Sedan LS Fleet,2014,19555,18.0,30.0, Automatic,FWD,Gas,Silver,Black,0,1,Personaluse,17590,8, FL
9089, 1C4PJMCS6GW236949,Jeep,Cherokee,Latitude 4WD,2016,130383,21.0,28.0, Automatic,4WD,Gas,Silver,Black,0,3,Personaluse,12995,6, FL
9090, 1G1FH1R70H0142958,Chevrolet,Camaro,SS with 2SS Coupe,2017,29204,16.0,25.0, Automatic,RWD,Gas,White,White,0,3,Personaluse,41998,5, CA
9091, 1C4BJWFGXJL850554,Jeep,Wrangler,Unlimited Rubicon Recon (JK),2018,91618,16.0,21.0, Automatic,4WD,Gas,Black,Black,0,1,Personaluse,33540,4, TX
