,VIN,brand,model,trim,manufacture_year,mileage,MPG_city,MPG_highway,transmission,drive_type,fuel_type,exterior_color,interior_color,accidents,owners,car_usage_type,location,price
2129, KL4CJESB8KB825145,Buick,['Encore'],Preferred AWD,2019,"29,478",24,29, Automatic, AWD,Gas,Black,Black,0,1, Personal use,"Fort Worth, TX","22,998"
2130, JM3KFBCM5J1464938,Mazda,['CX-5'],Touring AWD,2018,"46,545",23,29, Automatic, AWD,Gas,Blue,Black,0,1, Personal use,"San Diego, CA","26,500"
2131, 4T1C11AK2LU358418,Toyota,['Camry'],LE FWD Automatic,2020,"53,690",28,39, Automatic, FWD,Gas,Gray,Beige,0,1, Fleet use,"Katy, TX","25,025"
2132, SHHFK7H53JU424514,Honda,['Civic'],EX Hatchback CVT,2018,"31,546",31,40, Automatic, FWD,Gas,White,Unknown,0,1, Personal use,"Conroe, TX","25,998"
2133, 4T1C11AK0LU308052,Toyota,['Camry'],LE FWD Automatic,2020,"44,947",28,39, Automatic, FWD,Gas,White,Black,0,1, Fleet use,"Lebanon, TN","25,990"
2134, 3C63RRRL0KG715998,Ram,['3500'],Limited Crew Cab 8' Box 4WD,2019,"21,620",,, Automatic, 4WD,Diesel,Gray,Black,0,2, Personal use,"Ocala, FL","80,000"
2135, 1GNSKBE01ER229398,Chevrolet,['Tahoe'],LT 4WD,2014,"82,055",15,21, Automatic, 4WD,Gas,Black,Black,1,3, Personal use,"Houston, TX","22,449"
2136, 55SWF4KB5JU241102,Mercedes-Benz,['C-Class'],C 300 4MATIC Sedan,2018,"26,710",23,32, Automatic, AWD,Gas,Black,Black,0,3, Personal use,"Abilene, TX","30,998"
2137, 3KPFK4A76JE277784,Kia,['Forte'],LX Sedan Automatic,2018,"79,837",29,37, Automatic, FWD,Gas,White,Gray,0,1, Personal use,"Abilene, TX","16,997"
2138, JTJBM7FX4K5224174,Lexus,['GX'],GX 460 Premium,2019,"26,799",,,,,,Black,Black,1,1, Personal use,"Tampa, FL","46,321"
2139, 1HGCP2F30CA014941,Honda,['Accord'],LX Sedan I4 Automatic,2012,"62,801",23,34, Automatic, FWD,Gas,Gray,Gray,0,2, Personal use,"Festus, MO","15,800"
2140, 2HGFC4B66KH303813,Honda,['Civic'],LX Coupe CVT,2019,"14,400",30,38, Automatic, FWD,Gas,Gray,Black,0,1, Personal use,"Plainfield, IL","23,119"
2141, 3C4NJDBB5KT630420,Jeep,['Compass'],Latitude 4WD,2019,"19,553",22,31, Automatic, 4WD,Gas,Gray,Black,1,1, Personal use,"Jacksonville, FL","27,000"
2142, 1C4RJEAG6KC630023,Jeep,"['Grand', 'Cherokee']",Laredo RWD,2019,"77,874",19,26, Automatic, RWD,Gas,White,Black,0,1, Fleet use,"Charlotte, NC","25,990"
2143, JHMGE8H55DC024781,Honda,['Fit'],Sport Automatic,2013,"78,594",27,33, Automatic, FWD,Gas,Purple,Black,0,1, Personal use,"Laguna Niguel, CA","14,970"
2144, 2LMPJ8L94KBL36577,Lincoln,['Nautilus'],Reserve AWD,2019,"23,427",20,27, Automatic, AWD,Gas,White,Black,0,1, Personal use,"ORLANDO, FL","40,998"
2145, 1HGCV1F46LA122523,Honda,['Accord'],EX 1.5T CVT,2020,"26,385",30,38, Automatic, FWD,Gas,Silver,Black,0,1, Personal use,"Longview, TX","29,300"
2146, WD4PF0CD4KP098087,Mercedes-Benz,"['Sprinter', 'Crew', 'Van']","2500 High Roof V6 144"" RWD",2019,"8,272",,, Automatic, RWD,Diesel,Gray,Black,0,3, Fleet use,"Miami, FL","49,495"
